imodel,model,x,t23,gX,sigma,sigma_ss,sigma_sb,sigma_bb,fracss,fracsb,fracbb,width,mmwidth,M,N_w,f_w,N1_w,N2_w,N1bb_w,N2bb_w,N1bs_w,N2bs_w,N1ss_w,N2ss_w,N_r,f_r,N1_r,N2_r,N1bb_r,N2bb_r,N1bs_r,N2bs_r,N1ss_r,N2ss_r,acc1bb,acc2bb,acc1bs,acc2bs,acc1ss,acc2ss,acc1bb_e,acc2bb_e,acc1bs_e,acc2bs_e,acc1ss_e,acc2ss_e,ssWeight,sbWeight,bbWeight
2,DY3,0.14,0.13,0.028000000000000004,12.7906,0.414871,0.104467,12.2712,0.0324356167810736,0.008167482369865371,0.959392053539318,0.01788211669497953,0.0023224310956259267,200,33.853821,0.057010137792100006,31.923809999999996,1.9300110000000001,31.656985,1.9248779999999999,0.248984,0.003639,0.017831,0.001493,90320.0,0.05750664304690001,85126.0,5194.0,84387.0,5182.0,694.0,10.0,45.0,2.0,0.018748394449207596,0.0011399813346281023,0.017321036731082987,0.00025315382781387956,0.00031235192581297196,2.615340840327335e-05,6.453960576445664e-05,1.583612919562464e-05,0.0006574975629627161,8.005426942819438e-05,4.656267593471844e-05,1.8493252433095823e-05,1.0,1.0,1.0
2,DY3,0.14,0.13,0.035,9.5364,0.12351400000000001,0.075044,9.33784,0.012951847657396922,0.00786921689526446,0.9791787257245921,0.03518271238444399,0.004563285838454775,250,43.965203,0.0670729076356,41.016327000000004,2.948874,40.741855,2.9442619999999997,0.264873,0.004613,0.009594,0.0,157282.0,0.06775727673859999,146625.0,10657.0,145638.0,10641.0,958.0,16.0,29.0,0.0,0.03170851744086427,0.002291456365388221,0.02565093982073153,0.0004467340400608387,0.0005645014914042321,0.0,8.308805324340902e-05,2.221367277595869e-05,0.0008287442481855402,0.00011168351001520968,0.00010482529534775901,0.0,1.0,1.0,1.0
2,DY3,0.14,0.13,0.05600000000000001,3.8606,0.00649921,0.029098400000000003,3.825,0.001683471481116925,0.007537273998860282,0.9907786354452677,0.15785383844120965,0.018838705511525996,400,40.904645,0.100005512821,36.813956,4.09069,36.598521999999996,4.085014,0.214204,0.005555,0.001225,0.000122,362746.0,0.101208559157,326033.0,36713.0,324090.0,36666.0,1934.0,46.0,9.0,1.0,0.06953663550691593,0.007761464508283933,0.053498306308218654,0.0013873834827648156,0.0013697997570581296,0.0001364208737641566,0.0001221464525188697,4.0533294937736675e-05,0.0012164991172622735,0.00020455853463583842,0.0004565999190193765,0.0001364208737641566,1.0,1.0,1.0
2,DY3,0.14,0.13,0.07700000000000001,1.80865,0.00034748,0.014407099999999999,1.7938900000000002,0.00019212119536670996,0.007965664998755978,0.9918392170956238,0.4262618009661432,0.049103085548149114,550,28.538989,0.129226021286,24.851009,3.6879800000000005,24.698412,3.6834629999999997,0.152561,0.004518,2e-05,0.0,541095.0,0.130805126641,470317.0,70778.0,467405.0,70695.0,2911.0,83.0,1.0,0.0,0.10005868434286046,0.014922516540966511,0.07695706961667641,0.002279036192265022,0.00041829410961581197,0.0,0.00014635518437712148,5.612388415769193e-05,0.0014263543124072773,0.0002501567211336918,0.00041829410961581197,0.0,1.0,1.0,1.0
2,DY3,0.14,0.13,0.09800000000000002,0.941133,1.60774e-05,0.00747987,0.933638,1.7083026522287498e-05,0.007947728960731374,0.9920361946717414,0.8889273762690685,0.10135040678560772,700,18.561335,0.154080996868,15.701386999999999,2.8599490000000003,15.607067,2.8565110000000002,0.094315,0.003437,0.0,0.0,679944.0,0.15546133211,574239.0,105705.0,570739.0,105587.0,3500.0,118.0,0.0,0.0,0.12148547085153318,0.02223509284784796,0.09163645612420637,0.003339389277409715,0.0,0.0,0.00016080722824123836,6.842798034682255e-05,0.001548938815632321,0.0003074157008065206,0.0,0.0,1.0,1.0,1.0
2,DY3,0.14,0.13,0.11900000000000001,0.522791,0.0,0.00410437,0.518687,0.0,0.007850881136056283,0.992149826603748,1.6000659414466485,0.18157548789009828,850,11.929064,0.17046735603100002,9.895547,2.033516,9.836858,2.031175,0.058684,0.002343,0.0,0.0,788679.0,0.17256577137200002,652580.0,136099.0,648719.0,135964.0,3861.0,135.0,0.0,0.0,0.1378264610538748,0.02845925620061855,0.10390938393457091,0.004148655281826386,0.0,0.0,0.00017112138870559686,7.718120929587923e-05,0.0016722641102737718,0.00035705939590375624,0.0,0.0,1.0,1.0,1.0
2,DY3,0.14,0.13,0.14,0.30039899999999997,0.0,0.00230216,0.298097,0.0,0.007663673980272905,0.9923368586446694,2.6131294274545405,0.2957733569855448,1000,7.503893,0.185590999232,6.111239,1.392655,6.0772,1.391182,0.034045,0.001474,0.0,0.0,865231.0,0.18750599550900002,702995.0,162236.0,699053.0,162069.0,3942.0,167.0,0.0,0.0,0.1481588129850975,0.03391625646123772,0.1074730071496051,0.004653112425863355,0.0,0.0,0.00017720355812217228,8.42476769303033e-05,0.001711752973106334,0.00036006864987263407,0.0,0.0,1.0,1.0,1.0
2,DY3,0.14,0.13,0.17500000000000002,0.130438,0.0,0.0009123439999999999,0.129526,0.0,0.006994464803201521,0.9930081724650792,5.117395496212328,0.5778812280596052,1250,3.5189510000000004,0.200522826263,2.81332,0.70563,2.798685,0.7049380000000001,0.014634999999999999,0.0006929999999999999,0.0,0.0,940612.0,0.202447980676,750187.0,190425.0,746265.0,190250.0,3922.0,175.0,0.0,0.0,0.1570285542922333,0.0395526452622065,0.11657775096663864,0.00552021738434442,0.0,0.0,0.00018177413870396866,9.06803528781012e-05,0.0018614950167017395,0.0004172892109140227,0.0,0.0,1.0,1.0,1.0
2,DY3,0.14,0.13,0.21000000000000002,0.059579099999999996,0.0,0.000342245,0.059236800000000006,0.0,0.005744380160156833,0.9942546966973319,8.678767111470332,0.9987662811173013,1500,1.650914,0.210786267486,1.302923,0.34799,1.297548,0.34765300000000005,0.005375,0.000338,0.0,0.0,971424.0,0.212068056791,765416.0,206008.0,762207.0,205822.0,3209.0,186.0,0.0,0.0,0.15918912991861123,0.04265166189119397,0.11413607211208344,0.007177300906769154,0.0,0.0,0.00018233789742010483,9.401346528001696e-05,0.002014828401176437,0.0005262652358089197,0.0,0.0,1.0,1.0,1.0
2,DY3,0.14,0.13,0.28,0.0154994,0.0,4.28728e-05,0.0154565,0.0,0.0027660941713872796,0.9972321509219711,20.795444288836553,2.367889332753621,2000,0.400208,0.215500439771,0.31396399999999997,0.086245,0.313373,0.086198,0.00059,4.6e-05,0.0,0.0,909869.0,0.21683011510400002,712582.0,197287.0,711232.0,197186.0,1350.0,101.0,0.0,0.0,0.147343839688127,0.04052915947907819,0.10001191192724569,0.007797538896022545,0.0,0.0,0.00017471344971632096,9.127031691548574e-05,0.002721979471354699,0.0007758841193651374,0.0,0.0,1.0,1.0,1.0
3,DYp3,0.08,-0.18,0.016,9.170539999999999,0.253425,0.132136,8.784980000000001,0.027634686725100163,0.014408748012657926,0.9579566743070748,0.005837813214703371,0.001656904903692265,200,24.582689000000002,0.0581285879669,23.153732,1.428957,22.835499,1.4256,0.306228,0.003358,0.012,0.0,91644.0,0.0586836017633,86266.0,5378.0,85082.0,5367.0,1142.0,11.0,42.0,0.0,0.018890841110305236,0.0011793384977858876,0.016842451610813946,0.0001846890307519666,0.00034412272792968884,0.0,6.476381896331133e-05,1.6098027984962462e-05,0.0004983933699330059,5.568583799078938e-05,5.3099289717644516e-05,0.0,1.0,1.0,1.0
3,DYp3,0.08,-0.18,0.02,6.57672,0.08162910000000001,0.0918962,6.40319,0.012411825347589682,0.013972953082995778,0.9736145069274654,0.011486071245489842,0.0031305071828643715,250,30.549769,0.0670083299157,28.502679999999998,2.047089,28.138451,2.043119,0.35891100000000004,0.0039700000000000004,0.00533,0.0,158195.0,0.0677707892158,147474.0,10721.0,145596.0,10702.0,1854.0,19.0,24.0,0.0,0.03193635620464901,0.0023188830171385864,0.028383815931250646,0.0003139601440108135,0.0004745301015970906,0.0,8.369714456765683e-05,2.2415393466259308e-05,0.0006591980543626234,7.202739684434804e-05,9.686305137532774e-05,0.0,1.0,1.0,1.0
3,DYp3,0.08,-0.18,0.032,2.53174,0.00301789,0.0348087,2.49392,0.0011920220875761335,0.01374892366514729,0.9850616572001865,0.05154901907094861,0.012362434675137403,400,26.901769,0.0986356324746,24.248295000000002,2.653473,23.975488000000002,2.64522,0.27202,0.008206999999999999,0.000801,4.5e-05,363636.0,0.09956659956660001,327430.0,36206.0,323728.0,36105.0,3693.0,100.0,9.0,1.0,0.06986610040269098,0.007708339705419394,0.056792972299560776,0.0017134766695922918,0.0019289042775689498,0.0001083654088521882,0.0001227937808387859,4.056739969645212e-05,0.0009345551704080038,0.0001713476669592292,0.0006429680925229833,0.0001083654088521882,1.0,1.0,1.0
3,DYp3,0.08,-0.18,0.044,1.17215,6.324359999999999e-05,0.016466400000000003,1.15562,5.395521051060017e-05,0.014048031395299239,0.9858977093375422,0.13920193407839454,0.0317808810343796,550,18.498369,0.129562503592,16.101673,2.3966950000000002,15.922042000000001,2.391171,0.179569,0.005526,6.500000000000001e-05,0.0,542034.0,0.13118918739399998,470925.0,71109.0,465643.0,70959.0,5281.0,150.0,1.0,0.0,0.10013024569917768,0.015037552327694423,0.07925273693350461,0.0024388988316165175,0.007469273111116898,0.0,0.00014673669819218575,5.645122990511589e-05,0.0010905766262236957,0.00019913525572435125,0.007469273111116898,0.0,1.0,1.0,1.0
3,DYp3,0.08,-0.18,0.056,0.605124,0.0,0.00853234,0.596591,0.0,0.014100151373933275,0.9858987579405213,0.29028360007639975,0.06520517756788587,700,11.973319,0.152938629631,10.142137,1.8311830000000002,10.030510000000001,1.8274279999999998,0.111633,0.003754,0.0,0.0,682391.0,0.154897998362,576690.0,105701.0,570352.0,105488.0,6338.0,213.0,0.0,0.0,0.12218781083826938,0.022261024293336717,0.09508368597703588,0.0031974788562324106,0.0,0.0,0.0001617917600504913,6.85399233464539e-05,0.0011943452636754277,0.0002190876412202697,0.0,0.0,1.0,1.0,1.0
3,DYp3,0.08,-0.18,0.068,0.33466,0.0,0.00466752,0.329994,0.0,0.01394705073806251,0.9860574911850833,0.5224986452417346,0.11645492898994739,850,7.646016,0.170873171074,6.339517,1.306499,6.2729610000000005,1.303939,0.066571,0.002559,0.0,0.0,789109.0,0.172898801053,652673.0,136436.0,645753.0,136190.0,6920.0,246.0,0.0,0.0,0.1381491159247293,0.02871658536850071,0.10365266181891525,0.003984425073900108,0.0,0.0,0.00017191544422439687,7.781443843457955e-05,0.0012460268823904462,0.000254037664206438,0.0,0.0,1.0,1.0,1.0
3,DYp3,0.08,-0.18,0.08,0.193999,1.95552e-07,0.00256592,0.191434,1.0080051959030716e-06,0.013226459930205827,0.9867782823622802,0.8533011149336003,0.1893498083667679,1000,4.867328,0.185350155157,3.9651660000000004,0.9021600000000001,3.9255230000000005,0.9002680000000001,0.039632,0.0018920000000000002,7.000000000000001e-06,0.0,869638.0,0.18710428937100002,706925.0,162713.0,699789.0,162389.0,7135.0,324.0,1.0,0.0,0.14902530467115876,0.03417702889161387,0.11224950731665581,0.005358701752198042,0.26014611470737103,0.0,0.0001781461588524094,8.481174557375688e-05,0.0013288851697457846,0.0002977056528998912,0.26014611470737103,0.0,1.0,1.0,1.0
3,DYp3,0.08,-0.18,0.1,0.08302480000000001,2.28521e-07,0.00104487,0.0819798,2.7524426436438267e-06,0.01258503483296557,0.9874133993698267,1.6710306848823682,0.3693160483206956,1250,2.263754,0.200227144822,1.810488,0.453265,1.7939319999999999,0.452375,0.016557,0.000891,0.0,0.0,951206.0,0.20236415665999996,758716.0,192490.0,751693.0,192134.0,7023.0,356.0,0.0,0.0,0.15903059670343064,0.04010267177558261,0.11515981402827233,0.006197221374596282,0.0,0.0,0.0001834258057398085,9.148948766481729e-05,0.0013741673344857353,0.000328452075950108,0.0,0.0,1.0,1.0,1.0
3,DYp3,0.08,-0.18,0.12,0.0367774,3.05399e-07,0.00043227099999999997,0.0363449,8.303985599852082e-06,0.011753712878017476,0.9882400604719201,2.833937345858681,0.6377017501969288,1500,1.0460639999999999,0.212301541779,0.823983,0.222081,0.8170310000000001,0.22162600000000002,0.006952,0.00045599999999999997,0.0,0.0,996722.0,0.21401554295000003,783408.0,213314.0,776644.0,212923.0,6764.0,391.0,0.0,0.0,0.16337162272279399,0.04431582064519209,0.11687866133502708,0.007666379397119153,0.0,0.0,0.00018538117352992362,9.60389731080264e-05,0.001421128762536474,0.00038770547084639867,0.0,0.0,1.0,1.0,1.0
3,DYp3,0.08,-0.18,0.16,0.0082788,8.18274e-09,5.8303599999999995e-05,0.00822048,9.883968691114654e-07,0.0070425182393583615,0.9929555007972172,6.7904226468584925,1.5104669963391726,2000,0.231054,0.221000285648,0.17999300000000001,0.051063,0.179119,0.050999,0.000875,6.3e-05,0.0,0.0,983847.0,0.222890347788,764557.0,219290.0,760683.0,219035.0,3874.0,255.0,0.0,0.0,0.15835290866283366,0.04508645084494585,0.1090672210276377,0.007852839913989914,0.0,0.0,0.00018156167877131179,9.633615107593778e-05,0.0017523241225093698,0.00049176391081435,0.0,0.0,1.0,1.0,1.0
4,Y3,0.14,-0.15,0.028000000000000004,15.9797,0.0,0.134422,15.8453,0.0,0.008412047785628016,0.9915893289611195,0.0040152623466856345,0.0006462760466581342,200,43.751515000000005,0.057189928165899996,41.249368,2.5021459999999998,40.858754,2.494985,0.39062600000000003,0.00716,0.0,0.0,93664.0,0.0582507687052,88208.0,5456.0,87366.0,5439.0,842.0,17.0,0.0,0.0,0.018739854668958396,0.0011443240853901508,0.02111895183962481,0.00038710094866115834,0.0,0.0,6.340083715337484e-05,1.5516347934003242e-05,0.0007278071437441558,9.388577053569147e-05,0.0,0.0,1.0,1.0,1.0
4,Y3,0.14,-0.15,0.035,10.1165,0.0,0.08617330000000001,10.0302,0.0,0.008518094202540405,0.9914693817031582,0.008687060920279821,0.0011683291611854641,250,47.466642,0.06702903061900001,44.285,3.181643,43.96354,3.178756,0.321438,0.002888,0.0,0.0,160163.0,0.0677060244876,149319.0,10844.0,148246.0,10834.0,1073.0,10.0,0.0,0.0,0.0318540478684605,0.002303186817671098,0.027108535668753382,0.00024356003649649317,0.0,0.0,8.273192629379052e-05,2.212762233946936e-05,0.0008275727801997612,7.702044623226555e-05,0.0,0.0,1.0,1.0,1.0
4,Y3,0.14,-0.15,0.05600000000000001,2.9093400000000003,3.47996e-05,0.022455799999999998,2.88685,1.196133831040717e-05,0.007718520351694885,0.9922697244048477,0.04943033399285345,0.004395072610045704,400,31.079394,0.0994161597874,27.989601,3.089794,27.805459999999997,3.086763,0.184139,0.003034,0.0,0.0,365557.0,0.10067923743799999,328753.0,36804.0,326596.0,36771.0,2157.0,33.0,0.0,0.0,0.06999829016176398,0.007770708779304392,0.05959348928758656,0.0009819030542065374,0.0,0.0,0.00012248474461192698,4.052359002048343e-05,0.001283139109291024,0.00017092738205201456,0.0,0.0,1.0,1.0,1.0
4,Y3,0.14,-0.15,0.07700000000000001,1.2248299999999999,3.6514099999999997e-06,0.0117237,1.2131,2.981156568666672e-06,0.00957169566388805,0.9904231607651676,0.1438894463406531,0.011133027974041308,550,19.383951,0.129594322644,16.871902,2.51205,16.747058,2.508413,0.124848,0.003636,0.0,0.0,543816.0,0.13122269297,472455.0,71361.0,468920.0,71268.0,3535.0,93.0,0.0,0.0,0.10032830792913791,0.015027405522656731,0.07739242571844629,0.0022539316601969655,0.0,0.0,0.0001465123079341525,5.629070923326342e-05,0.001301678554951317,0.00023372182548478043,0.0,0.0,1.0,1.0,1.0
4,Y3,0.14,-0.15,0.09800000000000002,0.6143529999999999,1.8156299999999998e-06,0.00528058,0.60907,2.9553530299355584e-06,0.008595351532425171,0.9914007093641605,0.30625237417073636,0.022697021348566174,700,12.170421000000001,0.153701420846,10.299809,1.870611,10.233382,1.8680299999999999,0.06642100000000001,0.0025800000000000003,0.0,0.0,682820.0,0.155341085498,576750.0,106070.0,573024.0,105943.0,3726.0,127.0,0.0,0.0,0.12210502687856935,0.02228939106934285,0.09141245011228948,0.003550746319533082,0.0,0.0,0.00016130474301212662,6.847973493556674e-05,0.0014975589401631005,0.00031507778599229884,0.0,0.0,1.0,1.0,1.0
4,Y3,0.14,-0.15,0.11900000000000001,0.334918,1.97997e-06,0.00332378,0.331592,5.911805277709768e-06,0.009924160540789088,0.9900692109710437,0.5562900745654379,0.040402716244974664,850,7.645492999999999,0.17199819553800003,6.330481,1.3150110000000002,6.283373,1.3130629999999999,0.047086,0.001948,1.9e-05,0.0,789351.0,0.17359450991999997,652324.0,137027.0,647414.0,136847.0,4909.0,180.0,1.0,0.0,0.13771154902746832,0.028778164164478957,0.10295349494908221,0.004259300177564714,0.069739135112571,0.0,0.00017115095237634333,7.779388223742215e-05,0.0014694153695468412,0.00031746949112038754,0.069739135112571,0.0,1.0,1.0,1.0
4,Y3,0.14,-0.15,0.14,0.19195399999999999,9.68044e-07,0.00168713,0.19026600000000002,5.043104077018453e-06,0.008789241172364213,0.9912062264917638,0.9130023652571696,0.06556598552911222,1000,4.81377,0.18523589618900002,3.922089,0.891683,3.8971190000000004,0.890599,0.02497,0.001084,0.0,0.0,869904.0,0.187059721532,707180.0,162724.0,702674.0,162539.0,4506.0,185.0,0.0,0.0,0.1488552119444039,0.034017514708294554,0.10756018994138801,0.004669413131616524,0.0,0.0,0.00017757715888344137,8.437694353877265e-05,0.0016023447685386207,0.0003433020810961306,0.0,0.0,1.0,1.0,1.0
4,Y3,0.14,-0.15,0.17500000000000002,0.0817226,6.739619999999999e-07,0.0007308939999999999,0.080991,8.246947600786072e-06,0.00894359699764814,0.9910477640212131,1.7958807622620805,0.12765134316658217,1250,2.238611,0.201475379153,1.7875869999999998,0.451025,1.775825,0.45036800000000005,0.011763,0.000656,0.0,0.0,956060.0,0.203326151078,761668.0,194392.0,756606.0,194134.0,5062.0,258.0,0.0,0.0,0.1593473959064645,0.04041218475897265,0.11696212939858742,0.006522754134614755,0.0,0.0,0.00018319350838934175,9.171946828264245e-05,0.0016439333122648927,0.0004060889346813995,0.0,0.0,1.0,1.0,1.0
4,Y3,0.14,-0.15,0.21000000000000002,0.036369599999999995,9.90885e-08,0.000281757,0.03608769999999999,2.7244869341428006e-06,0.007747046984294577,0.9922490211605296,2.938283316773018,0.22020010199822274,1500,1.031535,0.21208878031300002,0.812757,0.218777,0.808537,0.21852800000000003,0.004219,0.00024900000000000004,0.0,0.0,994116.0,0.213864378,781510.0,212606.0,777416.0,212382.0,4094.0,224.0,0.0,0.0,0.16282544023406548,0.04400777924012119,0.10882191821073592,0.006422530844862113,0.0,0.0,0.00018466964901127982,9.549279395649053e-05,0.0017007577468009353,0.00042912339245467515,0.0,0.0,1.0,1.0,1.0
4,Y3,0.14,-0.15,0.28,0.008251,7.96398e-09,3.54114e-05,0.00821558,9.652139134650345e-07,0.004291770694461277,0.9957071870076355,7.186218228557975,0.5210581983530037,2000,0.229115,0.22063156056999997,0.178566,0.05055,0.17813299999999999,0.050522000000000004,0.000433,2.8000000000000003e-05,0.0,0.0,980029.0,0.22222301585,762244.0,217785.0,760303.0,217670.0,1941.0,115.0,0.0,0.0,0.1575751463597497,0.04469139095163319,0.08886410380785272,0.005746408560323039,0.0,0.0,0.00018071506867701955,9.579097263677566e-05,0.0020170357591705475,0.0005358553612614534,0.0,0.0,1.0,1.0,1.0
