model,mass,xsec_total,xsec_ss,xsec_sb,xsec_bb,xsec_ss_undoModel,xsec_sb_undoModel,xsec_bb_undoModel,Gamma_ss~,Gamma_sb~,Gamma_bb~,Gamma_mumu,Gamma_Zp,xsec_ss_undoModel_final,xsec_sb_undoModel_final,xsec_bb_undoModel_final,xsec_ss_final,xsec_sb_final,xsec_bb_final,xsec_total_final,xsec_ss_unc,xsec_sb_unc,xsec_bb_unc
DY3,700,0.941133,1.60774e-05,0.00747987,0.933638,25.3742,534.415,227.177,5.55728e-06,0.000122759,0.0360457,0.10135,0.888927,13.6684,501.038,227.419,8.66041e-06,0.00701269,0.93463,0.941651,0.430609,0.042959,0.00157558
Y3,700,0.614353,1.81563e-06,0.00528058,0.60907,6.74039,439.248,228.487,3.63465e-06,0.000162215,0.0359687,0.022697,0.306252,13.6684,501.038,227.419,3.68188e-06,0.00602352,0.606236,0.612263,0.430609,0.042959,0.00157558
B3mL2,700,7.18842,1.39603e-05,0.0820113,7.10639,8.89056,525.822,227.031,3.38921e-06,0.000336641,0.067561,0.204713,0.44186,13.6684,501.038,227.419,2.14623e-05,0.0781445,7.11843,7.1966,0.430609,0.042959,0.00157558
B3mL2,850,3.96851,3.96401e-06,0.0445243,3.92398,1.4129,159.77,70.1625,6.06821e-06,0.000602752,0.120965,0.366529,0.79277,14.2969,159.321,70.2396,4.01109e-05,0.0443989,3.92827,3.97271,0.901174,0.0122987,0.000744582
Y3,850,0.334918,1.97997e-06,0.00332378,0.331592,27.1808,157.565,70.3618,1.00297e-06,0.000290445,0.0648871,0.0404027,0.55629,14.2969,159.321,70.2396,1.04145e-06,0.00336082,0.331017,0.334378,0.901174,0.0122987,0.000744582
DYp3,850,0.33466,0,0.00466752,0.329994,0,155.395,70.1432,1.62337e-07,0.000134765,0.021108,0.116455,0.522499,14.2969,159.321,70.2396,5.17287e-07,0.00478543,0.330447,0.335233,0.901174,0.0122987,0.000744582
DY3,850,0.522791,0,0.00410437,0.518687,0,164.553,70.2911,2.41159e-06,0.0002198,0.0650269,0.181575,1.60007,14.2969,159.321,70.2396,3.91258e-06,0.00397392,0.518316,0.522294,0.901174,0.0122987,0.000744582
Y3,1000,0.191954,9.68044e-07,0.00168713,0.190266,37.3129,49.8163,25.0366,3.62302e-07,0.000472947,0.106125,0.065566,0.913002,19.1146,53.7037,24.973,4.97328e-07,0.00182399,0.190325,0.19215,0.95206,0.0294709,0.00118471
B3mL2,1000,2.29841,0,0.0250297,2.27338,0,55.1829,24.975,9.88107e-06,0.000981493,0.196971,0.596831,1.29195,19.1146,53.7037,24.973,8.72517e-05,0.0243498,2.27236,2.29679,0.95206,0.0294709,0.00118471
DYp3,1000,0.193999,1.95552e-07,0.00256592,0.191434,0.916354,52.6875,24.9865,9.61585e-07,0.000219444,0.0345224,0.18935,0.853301,19.1146,53.7037,24.973,4.07864e-06,0.00261512,0.191308,0.193928,0.95206,0.0294709,0.00118471
DY3,1000,0.300399,0,0.00230216,0.298097,0,57.1281,24.8938,7.19242e-07,0.000357912,0.106355,0.295773,2.61313,19.1146,53.7037,24.973,1.55611e-06,0.0021756,0.300626,0.302803,0.95206,0.0294709,0.00118471
B3mL2,1250,0.981572,0,0.00985913,0.971713,0,11.1388,5.47054,1.9299e-05,0.001917,0.384708,1.16569,2.52468,1.43135,11.2145,5.4806,1.27543e-05,0.0099261,0.9735,0.983438,0.851107,0.0104258,0.00115075
DY3,1250,0.130438,0,0.000912344,0.129526,0,11.5573,5.49887,7.30158e-07,0.000699057,0.20859,0.577881,5.1174,1.43135,11.2145,5.4806,1.1802e-07,0.000885282,0.129095,0.129981,0.851107,0.0104258,0.00115075
DYp3,1250,0.0830248,2.28521e-07,0.00104487,0.0819798,0.213119,11.0303,5.47857,4.85164e-06,0.000428608,0.0677058,0.369316,1.67103,1.43135,11.2145,5.4806,1.53479e-06,0.00106232,0.0820101,0.083074,0.851107,0.0104258,0.00115075
Y3,1250,0.0817226,6.73962e-07,0.000730894,0.080991,2.64959,11.1316,5.47442,3.57856e-06,0.000923737,0.208138,0.127651,1.79588,1.43135,11.2145,5.4806,3.64086e-07,0.000736336,0.0810824,0.0818191,0.851107,0.0104258,0.00115075
Y3,1500,0.0363696,9.90885e-08,0.000281757,0.0360877,0.111944,2.49691,1.41614,1.25212e-05,0.00159623,0.360474,0.2202,3.11488,0.10239,2.57462,1.42255,9.06318e-08,0.000290525,0.0362509,0.0365415,0.0935573,0.0158377,0.00745412
DYp3,1500,0.0367774,3.05399e-07,0.000432271,0.0363449,0.111995,2.64636,1.40539,1.23642e-05,0.000740639,0.117259,0.637702,2.8916,0.10239,2.57462,1.42255,2.79193e-07,0.000420532,0.0367869,0.0372077,0.0935573,0.0158377,0.00745412
DY3,1500,0.0595791,0,0.000342245,0.0592368,0,2.51146,1.45352,4.27105e-06,0.00120798,0.361259,0.998766,8.85536,0.10239,2.57462,1.42255,4.93232e-08,0.000350776,0.0579621,0.058313,0.0935573,0.0158377,0.00745412
B3mL2,1500,0.438335,1.28134e-06,0.00404286,0.434291,0.0832315,2.64374,1.41516,3.33486e-05,0.0033126,0.664776,2.0143,4.36347,0.10239,2.57462,1.42255,1.57626e-06,0.00393709,0.436553,0.440492,0.0935573,0.0158377,0.00745412
Y3,2000,0.008251,7.96398e-09,3.54114e-05,0.00821558,0.00223709,0.133139,0.136473,5.06434e-05,0.00378368,0.856378,0.521058,7.41028,0.00157582,0.139336,0.142829,5.61154e-09,3.70706e-05,0.00860069,0.00863777,0.419633,0.0303408,0.0410097
DY3,2000,0.0154994,0,4.28728e-05,0.0154565,0,0.132932,0.159892,2.32435e-05,0.00286338,0.858246,2.36789,21.0195,0.00157582,0.139336,0.142829,4.12618e-09,4.49449e-05,0.0138092,0.0138541,0.419633,0.0303408,0.0410097
DYp3,2000,0.0082788,8.18274e-09,5.83036e-05,0.00822048,0.000914556,0.150912,0.134096,4.06575e-05,0.0017556,0.278569,1.51047,6.86359,0.00157582,0.139336,0.142829,1.40997e-08,5.38331e-05,0.00875609,0.00880993,0.419633,0.0303408,0.0410097
B3mL2,2000,0.102925,0,0.000508559,0.102417,0,0.140361,0.140855,7.90485e-05,0.00785214,1.57577,4.77465,10.3443,0.00157582,0.139336,0.142829,5.74963e-08,0.000504998,0.103884,0.104389,0.419633,0.0303408,0.0410097
